",""Sample_ID"",""symbiont_ID"",""count"",""treatment"",""time"",""mortality"",""treatment_time"",""genotype"",""rack"",""season"",""batch"",""PCR"",""dominant_clade"""
"115,""19_C2_T0+1.5Y"",""C31.6"",""3"",""C"",""t0+1.5Y"",0,""Control_t0+18m"",""G19"",""C2"",""Winter"",""t0+18m_control"",""pcr4"",""C"""
"116,""19_C2_T0+1.5Y"",""C31.9"",""4"",""C"",""t0+1.5Y"",0,""Control_t0+18m"",""G19"",""C2"",""Winter"",""t0+18m_control"",""pcr4"",""C"""
"117,""19_C2_T0+1.5Y"",""C31a"",""56"",""C"",""t0+1.5Y"",0,""Control_t0+18m"",""G19"",""C2"",""Winter"",""t0+18m_control"",""pcr4"",""C"""
"118,""19_C2_T0+1.5Y"",""C31c"",""2"",""C"",""t0+1.5Y"",0,""Control_t0+18m"",""G19"",""C2"",""Winter"",""t0+18m_control"",""pcr4"",""C"""
"119,""19_C2_T0+1.5Y"",""C31d"",""0"",""C"",""t0+1.5Y"",0,""Control_t0+18m"",""G19"",""C2"",""Winter"",""t0+18m_control"",""pcr4"",""C"""
"120,""19_C2_T0+1.5Y"",""C3d"",""192"",""C"",""t0+1.5Y"",0,""Control_t0+18m"",""G19"",""C2"",""Winter"",""t0+18m_control"",""pcr4"",""C"""
"121,""19_C2_T0+1.5Y"",""D1"",""0"",""C"",""t0+1.5Y"",0,""Control_t0+18m"",""G19"",""C2"",""Winter"",""t0+18m_control"",""pcr4"",""C"""
"122,""19_C2_T0+1.5Y"",""D1.6"",""0"",""C"",""t0+1.5Y"",0,""Control_t0+18m"",""G19"",""C2"",""Winter"",""t0+18m_control"",""pcr4"",""C"""
"123,""19_C2_T0+1.5Y"",""D10"",""0"",""C"",""t0+1.5Y"",0,""Control_t0+18m"",""G19"",""C2"",""Winter"",""t0+18m_control"",""pcr4"",""C"""
"124,""19_C2_T0+1.5Y"",""D11"",""0"",""C"",""t0+1.5Y"",0,""Control_t0+18m"",""G19"",""C2"",""Winter"",""t0+18m_control"",""pcr4"",""C"""
"125,""19_C2_T0+1.5Y"",""D17"",""0"",""C"",""t0+1.5Y"",0,""Control_t0+18m"",""G19"",""C2"",""Winter"",""t0+18m_control"",""pcr4"",""C"""
"126,""19_C2_T0+1.5Y"",""D1a"",""0"",""C"",""t0+1.5Y"",0,""Control_t0+18m"",""G19"",""C2"",""Winter"",""t0+18m_control"",""pcr4"",""C"""
"127,""19_C2_T0+1.5Y"",""D2.2"",""0"",""C"",""t0+1.5Y"",0,""Control_t0+18m"",""G19"",""C2"",""Winter"",""t0+18m_control"",""pcr4"",""C"""
"128,""19_C2_T0+1.5Y"",""D3"",""0"",""C"",""t0+1.5Y"",0,""Control_t0+18m"",""G19"",""C2"",""Winter"",""t0+18m_control"",""pcr4"",""C"""
"129,""19_C2_T0+1.5Y"",""D4"",""0"",""C"",""t0+1.5Y"",0,""Control_t0+18m"",""G19"",""C2"",""Winter"",""t0+18m_control"",""pcr4"",""C"""
"130,""19_C2_T0+1.5Y"",""D5"",""0"",""C"",""t0+1.5Y"",0,""Control_t0+18m"",""G19"",""C2"",""Winter"",""t0+18m_control"",""pcr4"",""C"""
"131,""19_C2_T0+1.5Y"",""D6"",""0"",""C"",""t0+1.5Y"",0,""Control_t0+18m"",""G19"",""C2"",""Winter"",""t0+18m_control"",""pcr4"",""C"""
"132,""19_C2_T0+1.5Y"",""D9"",""0"",""C"",""t0+1.5Y"",0,""Control_t0+18m"",""G19"",""C2"",""Winter"",""t0+18m_control"",""pcr4"",""C"""
"133,""19_C2_T0+6M"",""C161"",""21"",""C"",""t0+06m"",0,""Control_t0+06m"",""G19"",""C2"",""Summer"",""t0+06m_control"",""pcr2"",""C"""
"134,""19_C2_T0+6M"",""C163b"",""24"",""C"",""t0+06m"",0,""Control_t0+06m"",""G19"",""C2"",""Summer"",""t0+06m_control"",""pcr2"",""C"""
"135,""19_C2_T0+6M"",""C17"",""74"",""C"",""t0+06m"",0,""Control_t0+06m"",""G19"",""C2"",""Summer"",""t0+06m_control"",""pcr2"",""C"""
"136,""19_C2_T0+6M"",""C17.2"",""242"",""C"",""t0+06m"",0,""Control_t0+06m"",""G19"",""C2"",""Summer"",""t0+06m_control"",""pcr2"",""C"""
"137,""19_C2_T0+6M"",""C17a"",""0"",""C"",""t0+06m"",0,""Control_t0+06m"",""G19"",""C2"",""Summer"",""t0+06m_control"",""pcr2"",""C"""
"138,""19_C2_T0+6M"",""C21"",""7"",""C"",""t0+06m"",0,""Control_t0+06m"",""G19"",""C2"",""Summer"",""t0+06m_control"",""pcr2"",""C"""
"139,""19_C2_T0+6M"",""C21.11"",""10"",""C"",""t0+06m"",0,""Control_t0+06m"",""G19"",""C2"",""Summer"",""t0+06m_control"",""pcr2"",""C"""
"140,""19_C2_T0+6M"",""C21.14"",""0"",""C"",""t0+06m"",0,""Control_t0+06m"",""G19"",""C2"",""Summer"",""t0+06m_control"",""pcr2"",""C"""
"141,""19_C2_T0+6M"",""C26.b1"",""0"",""C"",""t0+06m"",0,""Control_t0+06m"",""G19"",""C2"",""Summer"",""t0+06m_control"",""pcr2"",""C"""
"142,""19_C2_T0+6M"",""C26.b2"",""0"",""C"",""t0+06m"",0,""Control_t0+06m"",""G19"",""C2"",""Summer"",""t0+06m_control"",""pcr2"",""C"""
"143,""19_C2_T0+6M"",""C2r"",""220"",""C"",""t0+06m"",0,""Control_t0+06m"",""G19"",""C2"",""Summer"",""t0+06m_control"",""pcr2"",""C"""
"144,""19_C2_T0+6M"",""C31"",""80"",""C"",""t0+06m"",0,""Control_t0+06m"",""G19"",""C2"",""Summer"",""t0+06m_control"",""pcr2"",""C"""
"145,""19_C2_T0+6M"",""C31.1"",""10"",""C"",""t0+06m"",0,""Control_t0+06m"",""G19"",""C2"",""Summer"",""t0+06m_control"",""pcr2"",""C"""
"146,""19_C2_T0+6M"",""C31.10"",""8"",""C"",""t0+06m"",0,""Control_t0+06m"",""G19"",""C2"",""Summer"",""t0+06m_control"",""pcr2"",""C"""
"147,""19_C2_T0+6M"",""C31.5"",""0"",""C"",""t0+06m"",0,""Control_t0+06m"",""G19"",""C2"",""Summer"",""t0+06m_control"",""pcr2"",""C"""
"148,""19_C2_T0+6M"",""C31.6"",""12"",""C"",""t0+06m"",0,""Control_t0+06m"",""G19"",""C2"",""Summer"",""t0+06m_control"",""pcr2"",""C"""
"149,""19_C2_T0+6M"",""C31.9"",""10"",""C"",""t0+06m"",0,""Control_t0+06m"",""G19"",""C2"",""Summer"",""t0+06m_control"",""pcr2"",""C"""
"150,""19_C2_T0+6M"",""C31a"",""66"",""C"",""t0+06m"",0,""Control_t0+06m"",""G19"",""C2"",""Summer"",""t0+06m_control"",""pcr2"",""C"""
"151,""19_C2_T0+6M"",""C31c"",""11"",""C"",""t0+06m"",0,""Control_t0+06m"",""G19"",""C2"",""Summer"",""t0+06m_control"",""pcr2"",""C"""
