",""Sample_ID"",""treatment"",""time"",""mortality"",""treatment_time"",""genotype"",""rack"",""season"",""batch"",""PCR"",""dominant_clade"",""C161"",""C163b"",""C17"",""C17.2"",""C17a"",""C21"",""C21.11"",""C21.14"",""C26.b1"",""C26.b2"",""C2r"",""C31"",""C31.1"",""C31.10"",""C31.5"",""C31.6"",""C31.9"",""C31a"",""C31c"",""C31d"",""C3d"",""D1"",""D1.6"",""D10"",""D11"",""D17"",""D1a"",""D2.2"",""D3"",""D4"",""D5"",""D6"",""D9"""
"47,""64_C1_T0+1.5Y"",""C"",""t0+1.5Y"",0,""Control_t0+18m"",""G64"",""C1"",""Winter"",""t0+18m_control"",""pcr4"",""C"",""12"",""8"",""60"",""308"",""0"",""1"",""4"",""0"",""0"",""0"",""319"",""53"",""0"",""4"",""0"",""3"",""3"",""47"",""5"",""0"",""173"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"""
"48,""64_C1_T0+6M"",""C"",""t0+06m"",0.45,""Control_t0+06m"",""G64"",""C1"",""Summer"",""t0+06m_control"",""pcr1"",""C"",""138"",""0"",""185"",""0"",""16"",""38"",""32"",""13"",""31"",""24"",""0"",""0"",""0"",""332"",""0"",""0"",""0"",""0"",""154"",""0"",""37"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"""
"49,""64_C2_T0+1.5Y"",""C"",""t0+1.5Y"",0,""Control_t0+18m"",""G64"",""C2"",""Winter"",""t0+18m_control"",""pcr4"",""C"",""16"",""16"",""51"",""293"",""0"",""3"",""4"",""0"",""0"",""0"",""314"",""36"",""0"",""7"",""24"",""0"",""13"",""38"",""7"",""0"",""178"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"""
"50,""64_C2_T0+6M"",""C"",""t0+06m"",0,""Control_t0+06m"",""G64"",""C2"",""Summer"",""t0+06m_control"",""pcr2"",""C"",""18"",""20"",""67"",""256"",""0"",""8"",""4"",""5"",""0"",""0"",""235"",""40"",""0"",""13"",""17"",""13"",""22"",""27"",""12"",""0"",""208"",""0"",""0"",""0"",""0"",""35"",""0"",""0"",""0"",""0"",""0"",""0"",""0"""
"51,""64_C3_T0+1.5Y"",""C"",""t0+1.5Y"",0,""Control_t0+18m"",""G64"",""C3"",""Winter"",""t0+18m_control"",""pcr4"",""C"",""28"",""22"",""33"",""295"",""0"",""2"",""3"",""0"",""0"",""0"",""352"",""92"",""0"",""2"",""4"",""0"",""1"",""0"",""1"",""0"",""165"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"""
"52,""64_S1_T0+1.5Y"",""S"",""t0+1.5Y"",0,""Shade_t0+18m"",""G64"",""S1"",""Winter"",""t0+18m_shade"",""pcr4"",""C"",""18"",""7"",""118"",""590"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""82"",""69"",""5"",""7"",""4"",""0"",""92"",""8"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"""
"53,""64_S1_T0+6M"",""S"",""t0+06m"",0,""Shade_t0+06m"",""G64"",""S1"",""Summer"",""t0+06m_shade"",""pcr1"",""C"",""40"",""33"",""86"",""98"",""0"",""11"",""0"",""0"",""18"",""10"",""13"",""343"",""79"",""43"",""14"",""74"",""0"",""60"",""70"",""0"",""8"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"""
"54,""64_S2_T0-18h"",""S"",""t0"",0,""Shade_t0"",""G64"",""S2"",""Winter"",""t0_shade"",""pcr2"",""C"",""74"",""56"",""71"",""146"",""0"",""25"",""19"",""0"",""0"",""0"",""57"",""313"",""0"",""50"",""20"",""19"",""29"",""32"",""37"",""0"",""18"",""0"",""0"",""0"",""0"",""34"",""0"",""0"",""0"",""0"",""0"",""0"",""0"""
"55,""64_S2_T0+1.5Y"",""S"",""t0+1.5Y"",0,""Shade_t0+18m"",""G64"",""S2"",""Winter"",""t0+18m_shade"",""pcr4"",""C"",""17"",""10"",""49"",""309"",""0"",""4"",""4"",""0"",""0"",""0"",""314"",""48"",""0"",""6"",""0"",""0"",""4"",""68"",""2"",""0"",""165"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"""
"56,""64_S2_T0+6M"",""S"",""t0+06m"",0,""Shade_t0+06m"",""G64"",""S2"",""Summer"",""t0+06m_shade"",""pcr2"",""C"",""23"",""9"",""59"",""244"",""0"",""11"",""5"",""0"",""0"",""0"",""284"",""64"",""0"",""18"",""8"",""12"",""0"",""62"",""8"",""0"",""164"",""0"",""0"",""0"",""0"",""29"",""0"",""0"",""0"",""0"",""0"",""0"",""0"""
